town,median_home_price,violent_crime_rate,school_rating,distance_to_boston_mi,population
Winchester,1433087,0.17,8,7.5,22970
Lexington,1626916,0.52,9,10.5,34295
Arlington,995240,0.55,7,6.3,46308
Belmont,1349551,0.51,9,6.6,27175
Newton,1395369,0.5,10,7.9,88415
Woburn,653416,2.1,4,9.5,40876
Medford,855081,1.82,5,4.7,59659
Burlington,804017,2.26,6,12.2,26377
Reading,801568,0.38,8,11.6,25518
Melrose,843099,1.0,8,6.8,29817
Stoneham,676728,1.43,7,8.5,23244
Wakefield,743417,1.71,7,10.1,27090
Malden,613378,2.91,6,4.5,66263
Somerville,885311,2.22,6,2.8,81045
Hopkinton,877055,1.0,9,25.4,18758
